"1004
Property Taxes"
NA
NA
NA
NA
NA
NA
(Static label)
1386
231
655
595
SYS.X323
POPT.X41
NEWHUD2.X2610
NEWHUD2.X2611
NEWHUD2.X2612
NEWHUD2.X2613
NEWHUD2.X118
SYS.X322
NEWHUD2.X2616
NEWHUD2.X2617
NEWHUD2.X2618
NEWHUD2.X2619
NEWHUD2.X2620
NEWHUD2.X2621
NEWHUD2.X2622
NEWHUD2.X2623
NEWHUD2.X2624
NEWHUD2.X2625
NEWHUD2.X2626
NEWHUD2.X2627
NEWHUD2.X2628
NEWHUD2.X2629
NEWHUD2.X2630
NEWHUD2.X2631
NEWHUD2.X2632
NEWHUD2.X2633
NEWHUD2.X2634
NEWHUD2.X2610
SYS.X44
NEWHUD2.X2637
NEWHUD2.X2638
NEWHUD2.X2639
NA
NA
NA
NEWHUD2.X134
